BAIAP3,COL24A1,DHRS7,ETFDH,FRZB,HBG1,IBSP,POU4F1,PSAT1,RIOK2,TCEAL4,TCF21,TRPA1,VIL1,ZNRF2,label
3.134063906,0.38590402,5.84514388,3.698521642,1.895829467,-7.031948495,0.351755797,0.702761125,7.368464017,4.281501446,6.120494807,-7.031948495,2.251139858,-7.031948495,4.104401846,0
-0.359117088,1.751843419,4.785018665,3.63561614,3.755526584,-5.596884735,2.303982073,1.751843419,6.196041094,4.639528157,6.100517272,-5.596884735,2.175308853,-5.596884735,3.780325795,0
3.126735663,0.403212793,5.356191896,3.242540104,4.760074678,-5.269212549,3.575231691,2.006911856,4.437571231,3.874595799,5.985225599,-4.532246955,-0.245957197,-5.269212549,5.045559492,0
1.047116034,1.425326604,6.221436769,4.102744967,2.508601649,-7.005125947,0.729583673,2.372084583,7.212604608,4.071021581,5.367467086,-4.197771025,0.157970191,-5.420163447,4.487227998,0
-2.453567584,-1.325650109,7.295180639,3.916513533,1.430855671,-6.370044229,0.906080176,-3.200119227,7.831696826,4.934307093,6.070565438,-4.785081728,-0.943779474,-6.370044229,6.1285557,1
0.479462718,-1.534646276,4.946666029,3.136803283,1.700129869,-6.392627272,1.986751095,0.016763665,6.068084581,4.426753519,5.679170251,-4.807664771,-1.609170617,-6.392627272,5.257077994,0
3.042503631,-2.601031924,6.302626802,4.51546222,4.08235263,-7.355919426,-3.268456585,3.440931369,2.462662751,4.945862536,5.663497557,-4.185994425,-2.045579306,-5.770956925,4.60299573,1
0.485851536,-0.117773064,5.476002507,4.402834062,3.0100544,-4.205235905,3.695630903,-2.134846577,7.417090513,4.054977982,6.042454303,-6.527164,-1.88330781,-6.527164,6.076230531,0
1.615506437,-0.707668855,5.973522063,5.904253171,4.958627131,5.372297299,-4.33215972,0.824344766,3.608398588,4.615233704,6.554298976,-0.96292591,-3.101546792,-5.917122221,3.826029173,1
-0.377090839,1.818553284,5.559580903,3.94897224,2.082190193,-6.821691653,1.24977071,-1.040331939,4.7169823,4.176193475,5.879398172,-6.821691653,0.530925646,-4.499763558,5.742696043,0
-0.605809812,1.206597514,6.290260606,3.969715396,3.973166821,-4.15095449,2.727607382,1.182946246,4.678768245,5.259143476,6.685358914,-4.15095449,-2.035477273,-5.735916991,4.489290446,1
2.03861337,0.294239859,5.568986232,3.902200395,5.365052722,-7.506660041,0.186826916,-0.306987696,6.45632631,4.704924112,6.72883069,-4.699305119,-0.765193055,1.870550489,4.568484803,0
3.238554639,-1.10297696,5.943972865,4.262042427,5.16221412,-3.850210889,-6.657565811,-5.072603311,3.452264843,4.637629144,6.830148634,-2.409638298,-2.265248389,-5.072603311,4.770270792,1
1.054761795,0.070446622,4.81574518,4.896529999,0.116616804,-6.872067883,-4.550139788,3.296604235,5.951100296,5.655164743,6.345435494,-6.872067883,-2.348505927,-4.550139788,4.174374065,0
3.756331918,-0.493013942,6.591489523,4.541311477,5.242028748,-4.101823185,-6.42375128,-6.42375128,3.460419239,4.718993997,7.230996616,-4.838788779,-4.090327546,-6.42375128,5.150369155,0
-1.756377321,0.607054326,7.286429384,3.652100806,7.442146304,-7.043997365,1.740637481,1.646000606,4.244291977,4.664655471,6.240682169,-4.72206927,-0.491866257,-7.043997365,6.259069849,1
-0.665653135,-0.743819813,6.975800257,4.559131505,1.226635911,-5.953273179,0.941544584,-5.953273179,4.326337402,4.584915753,6.692160096,-5.953273179,-5.953273179,-4.368310678,5.949478766,1
3.703473526,-2.310366623,7.071841702,4.749913607,2.154100586,-2.103915745,-1.762878827,-6.010806341,5.729396048,4.619460784,6.808374838,-3.688878246,-0.966412221,-6.010806341,5.382047699,1
1.954035703,0.567323987,5.875957662,6.942613495,4.747018321,-1.907760896,-6.551617086,-6.551617086,4.830466504,5.40729807,6.444326682,-1.34216372,-2.296116353,-6.551617086,4.168627172,0
0.138433679,0.898280559,5.63244317,3.816477133,2.351998526,-6.432636319,-0.704715865,-1.677748817,4.844069701,3.748515938,5.974365829,-4.110708224,0.533147965,-6.432636319,4.617892586,0
-0.391225463,-0.722298573,7.158305331,3.237851915,-0.798247426,-6.007700791,-1.149719796,2.235473192,7.115288931,5.036010072,6.166912856,-6.007700791,-3.685772697,5.354791015,3.630735123,0
2.158814742,1.351408616,7.113744225,3.644373228,-1.025311952,-5.979508262,0.986276023,-3.17215334,5.711799068,4.093294273,5.96776339,-3.657580167,0.253152495,-5.979508262,3.542092178,0
2.677165506,-0.245092763,6.178239955,4.100682074,3.547465157,-6.222372686,-3.052447685,-2.762941068,2.011246991,4.32548582,6.909966378,-4.637410185,0.445519439,-6.222372686,4.97422944,1
2.696429331,-0.47040295,6.139749459,4.507043509,4.243092921,-3.929834569,-0.229394851,-4.666800163,3.929389593,4.827055286,6.806059877,-1.297566353,-3.075439891,-6.251762664,4.757366126,1
0.959743256,-0.235821567,4.944659227,3.800004557,0.035480455,-6.678765063,-2.155203107,2.590361616,5.911120116,4.312048016,4.947400257,-5.093802562,1.140903121,-5.093802562,4.193909817,0
3.623820375,0.753700814,5.692206365,3.952138503,4.062612023,-3.822648557,1.696426008,1.951197103,4.421885177,4.565368729,5.894783072,-3.460078477,-2.102682871,-5.045040978,3.940800959,0
-1.98291718,-1.784676639,5.2494567,3.707176457,2.525569651,-6.738872949,3.65237064,1.125313195,6.466462132,4.430425746,6.568470186,-3.931518027,-5.153910449,-5.153910449,4.776334081,1
0.674656935,-1.437514269,6.995994841,4.399074965,1.494952573,-5.210103773,-2.888175678,-3.094626555,6.553246936,4.538648153,7.150834734,-6.795066273,-2.707603432,-1.122640932,5.217209071,1
2.702799699,-0.006451189,5.992939436,4.010507638,4.494327901,-6.800867055,2.386485018,-2.408549633,5.296835908,4.866688052,5.945017314,-4.47893896,-2.045979553,-5.215904555,4.339323648,1
1.179842297,-0.185894272,5.473760949,3.58748575,4.39974349,-2.961187985,-2.754737107,1.818152561,3.529431512,4.627814873,5.751735779,-4.339699608,-1.033437368,-3.202196084,4.257980536,1
3.359968942,0.11499302,5.855967837,4.487111372,4.265481542,2.407000883,-5.398076562,-3.523607444,2.644494822,5.000310865,7.242846173,-1.100396014,-4.171568032,-3.523607444,4.663969576,0
2.384402612,2.780811946,7.812533212,4.159323569,2.543120388,-5.844896897,1.686484564,-4.259934396,5.646455177,4.720205181,8.175996255,-5.844896897,-4.259934396,-3.522968802,5.79036776,0
1.171972106,-0.132928274,5.797809063,4.259389148,4.779721591,-6.361746965,1.964682522,-6.361746965,4.4829588,4.601871653,7.403849937,-2.902315346,-2.390893311,-6.361746965,5.095120774,0
3.193735193,0.102085133,6.65323921,3.716448551,2.870113735,-3.499950881,3.391398864,-4.722343302,3.091437889,4.471592673,6.757942019,-2.847874184,-1.77623631,-6.307305803,5.778498578,1
2.392024691,0.195825996,4.851487249,3.88784295,2.479827831,-7.335555465,1.700618148,-7.335555465,5.116943193,3.744595845,6.656409184,-7.335555465,-1.502665451,-4.165630463,5.096725432,0
